measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,speed
1425368190767,37.506817,139.931158,10,0.162,0.748,9.503,1.75
1425368190868,37.506819,139.931159,10,0.068,0.428,9.389,1.75
1425368190969,37.506821,139.93116,10,0.063,0.235,9.509,1.75
1425368191069,37.506823,139.931162,10,0.166,0.157,9.518,1.75
1425368191165,37.506825,139.931163,10,0.273,0.157,9.414,1.75
1425368191271,37.506828,139.931164,10,0.24,0.104,9.511,1.75
1425368191366,37.50683,139.931165,10,0.263,0.112,9.488,1.75
1425368191465,37.506832,139.931167,10,0.422,0.114,9.426,1.75
1425368191568,37.506834,139.931168,10,0.453,0.103,9.551,1.75
1425368191667,37.506836,139.931169,10,0.347,0.101,9.533,1.75
1425368191769,37.506839,139.931171,10,0.247,0.086,9.443,1.75
1425368191865,37.506841,139.931172,9,0.196,0.065,9.554,1.73
1425368191966,37.506843,139.931173,9,0.102,0.024,9.648,1.703
1425368192066,37.506845,139.931174,9,0.023,-0.013,9.623,1.677
1425368192167,37.506847,139.931175,9,0.023,0.015,9.551,1.651
1425368192268,37.506849,139.931176,9,0.147,0.017,9.525,1.626
1425368192368,37.506851,139.931178,9,0.264,-0.035,9.558,1.601
1425368192469,37.506853,139.931179,9,0.416,0.009,9.453,1.576
1425368192565,37.506855,139.93118,9,0.579,0.059,9.392,1.553
1425368192666,37.506857,139.931181,9,0.652,-0.038,9.593,1.529
1425368192766,37.506859,139.931182,9,0.57,-0.084,9.747,1.506
1425368192867,37.506861,139.931183,9,0.497,-0.055,9.483,1.5
1425368192968,37.506863,139.931184,9,0.447,-0.024,9.43,1.5
1425368193068,37.506865,139.931185,9,0.362,-0.061,9.578,1.5
1425368193169,37.506867,139.931186,9,0.264,-0.136,9.647,1.5
1425368193265,37.506869,139.931187,9,0.254,-0.155,9.547,1.5
1425368193365,37.50687,139.931188,9,0.332,-0.158,9.481,1.5
1425368193466,37.506873,139.931189,9,0.387,-0.164,9.509,1.5
1425368193567,37.506875,139.931191,9,0.387,-0.181,9.543,1.5
1425368193668,37.506877,139.931192,9,0.436,-0.148,9.506,1.5
1425368193768,37.506879,139.931193,9,0.526,-0.097,9.51,1.5
1425368193869,37.50688,139.931194,9,0.602,-0.102,9.504,1.5
1425368193965,37.506882,139.931195,9,0.563,-0.149,9.51,1.5
1425368194065,37.506884,139.931196,9,0.433,-0.171,9.545,1.5
1425368194166,37.506886,139.931198,9,0.314,-0.175,9.562,1.5
1425368194267,37.506888,139.931199,9,0.257,-0.171,9.561,1.5
1425368194367,37.506889,139.9312,9,0.241,-0.172,9.535,1.5
1425368194468,37.506891,139.931201,9,0.244,-0.185,9.53,1.5
1425368194569,37.506893,139.931202,9,0.295,-0.205,9.547,1.5
1425368194665,37.506895,139.931204,9,0.365,-0.233,9.539,1.5
1425368194765,37.506897,139.931205,9,0.425,-0.243,9.51,1.5
1425368194866,37.506898,139.931206,9,0.442,-0.237,9.516,1.5
1425368194967,37.5069,139.931207,9,0.426,-0.24,9.525,1.5
1425368195067,37.506902,139.931208,9,0.409,-0.25,9.529,1.5
1425368195168,37.506904,139.931209,9,0.392,-0.248,9.511,1.5
1425368195269,37.506906,139.93121,9,0.361,-0.211,9.493,1.5
1425368195370,37.506907,139.931211,9,0.366,-0.18,9.52,1.5
1425368195465,37.506909,139.931212,9,0.403,-0.154,9.539,1.5
1425368195566,37.506911,139.931214,9,0.436,-0.141,9.508,1.5
1425368195667,37.506913,139.931215,9,0.437,-0.162,9.491,1.5
1425368195767,37.506915,139.931216,9,0.367,-0.193,9.557,1.5
1425368195868,37.506916,139.931217,9,0.315,-0.226,9.554,1.5
1425368195969,37.506918,139.931217,9,0.313,-0.231,9.506,1.5
1425368196069,37.506919,139.931218,9,0.36,-0.205,9.506,1.5
1425368196165,37.506921,139.931219,9,0.409,-0.181,9.52,1.5
1425368196266,37.506923,139.93122,9,0.426,-0.175,9.515,1.5
1425368196366,37.506924,139.931221,9,0.423,-0.179,9.51,1.5
1425368196467,37.506926,139.931221,9,0.421,-0.17,9.524,1.5
1425368196568,37.506927,139.931222,9,0.392,-0.174,9.54,1.5
1425368196669,37.506929,139.931223,9,0.36,-0.171,9.536,1.5
1425368196769,37.506931,139.931224,9,0.344,-0.168,9.525,1.5
1425368196865,37.506932,139.931225,8,0.362,-0.151,9.536,1.5
1425368196966,37.506934,139.931225,8,0.374,-0.145,9.53,1.5
1425368197066,37.506935,139.931226,8,0.38,-0.141,9.528,1.5
1425368197167,37.506937,139.931227,8,0.373,-0.134,9.528,1.5
1425368197268,37.506939,139.931228,8,0.364,-0.139,9.529,1.5
1425368197369,37.50694,139.931229,8,0.363,-0.148,9.519,1.5
1425368197469,37.506942,139.931229,8,0.355,-0.149,9.52,1.5
1425368197565,37.506943,139.93123,8,0.359,-0.147,9.523,1.5
1425368197666,37.506945,139.931231,8,0.37,-0.139,9.525,1.5
