measurement_ms	latitude	longitude	gps_error_meter	accel_x_transverse	accel_y_longitudinal	accel_z_vertical	speed
1426900044634	37.504580	139.934734	6	-0.328	0.642	9.201	7.000
1426900044730	37.504574	139.934739	6	-0.114	0.520	9.412	7.000
1426900044831	37.504569	139.934745	6	0.005	0.291	9.444	7.000
1426900044932	37.504563	139.934750	6	0.133	0.278	9.032	7.000
1426900045032	37.504558	139.934755	6	0.183	0.210	9.236	7.000
1426900045133	37.504553	139.934760	6	0.285	0.082	9.667	7.000
1426900045234	37.504547	139.934766	6	0.301	0.012	9.785	7.000
1426900045334	37.504542	139.934771	6	0.335	0.004	9.548	7.000
1426900045430	37.504537	139.934776	6	0.350	0.067	9.203	7.000
1426900045531	37.504531	139.934781	6	0.372	0.078	9.259	7.000
1426900045632	37.504527	139.934787	6	0.367	0.042	9.479	7.000
1426900045732	37.504523	139.934793	6	0.432	0.074	9.303	7.000
1426900045833	37.504518	139.934799	6	0.504	0.079	9.212	7.000
1426900045934	37.504514	139.934805	6	0.480	-0.010	9.495	7.000
1426900046034	37.504510	139.934811	6	0.372	0.043	9.381	7.000
1426900046130	37.504507	139.934817	6	0.346	0.060	9.262	7.000
1426900046231	37.504503	139.934823	6	0.431	0.036	9.360	7.000
1426900046331	37.504499	139.934829	6	0.497	-0.011	9.752	7.000
1426900046432	37.504495	139.934835	6	0.534	-0.004	9.679	7.000
1426900046533	37.504490	139.934841	6	0.532	0.047	9.402	7.000
1426900046634	37.504485	139.934846	8	0.471	0.084	9.187	6.984
1426900046734	37.504480	139.934850	8	0.364	0.107	9.199	6.958
1426900046830	37.504474	139.934854	8	0.253	0.166	9.160	6.934
1426900046931	37.504469	139.934858	8	0.271	0.119	9.176	6.909
1426900047031	37.504463	139.934862	8	0.308	0.049	9.431	6.884
1426900047132	37.504457	139.934866	8	0.341	-0.011	9.574	6.858
1426900047234	37.504452	139.934870	8	0.347	-0.019	9.658	6.833
1426900047334	37.504446	139.934874	8	0.352	0.000	9.533	6.808
1426900047434	37.504441	139.934878	8	0.330	0.047	9.404	6.783
1426900047530	37.504435	139.934881	8	0.263	0.071	9.327	6.760
1426900047631	37.504430	139.934885	8	0.210	0.093	9.343	6.750
1426900047731	37.504424	139.934889	8	0.231	0.057	9.158	6.750
1426900047832	37.504419	139.934893	8	0.316	-0.006	9.692	6.750
1426900047933	37.504413	139.934898	8	0.323	-0.025	9.721	6.750
1426900048033	37.504408	139.934902	8	0.321	0.029	9.361	6.750
1426900048134	37.504403	139.934906	8	0.303	0.125	9.045	6.750
1426900048230	37.504397	139.934909	8	0.272	0.119	9.211	6.750
1426900048331	37.504392	139.934913	8	0.259	0.083	9.384	6.750
1426900048431	37.504387	139.934917	8	0.211	0.079	9.356	6.750
1426900048532	37.504381	139.934921	8	0.208	0.092	9.045	6.750
1426900048633	37.504376	139.934926	6	0.358	0.061	9.475	6.780
1426900048733	37.504371	139.934930	6	0.312	-0.042	9.978	6.829
1426900048834	37.504366	139.934935	6	0.228	0.052	9.559	6.879
1426900048930	37.504361	139.934940	6	0.246	0.043	9.259	6.926
1426900049030	37.504356	139.934944	6	0.249	0.151	9.183	6.976
1426900049131	37.504351	139.934949	6	0.175	-0.015	9.514	7.026
1426900049232	37.504346	139.934954	6	0.178	-0.021	9.828	7.077
1426900049333	37.504341	139.934959	6	0.361	0.064	9.296	7.128
1426900049433	37.504336	139.934963	6	0.349	0.144	9.011	7.179
1426900049534	37.504331	139.934968	6	0.269	0.116	9.261	7.231
1426900049630	37.504326	139.934973	6	0.237	0.047	9.684	7.219
1426900049730	37.504321	139.934978	6	0.253	0.050	9.452	7.168
1426900049831	37.504316	139.934984	6	0.221	0.083	9.344	7.116
1426900049932	37.504312	139.934989	6	0.248	0.140	9.079	7.065
1426900050033	37.504307	139.934994	6	0.260	0.118	9.352	7.014
1426900050133	37.504302	139.934999	6	0.290	0.124	9.718	6.964
1426900050234	37.504297	139.935004	6	0.267	0.134	9.369	6.914
1426900050330	37.504293	139.935009	6	0.222	0.143	9.266	6.867
1426900050430	37.504288	139.935014	6	0.118	0.104	9.341	6.818
1426900050531	37.504284	139.935019	6	0.188	0.058	9.707	6.769
1426900050632	37.504279	139.935025	6	0.296	0.031	9.877	6.750
1426900050732	37.504274	139.935030	6	0.335	0.059	9.624	6.750
1426900050833	37.504270	139.935036	6	0.333	0.152	9.132	6.750
1426900050934	37.504265	139.935042	6	0.358	0.201	9.046	6.750
1426900051035	37.504260	139.935048	6	0.398	0.099	9.897	6.750
1426900051130	37.504256	139.935053	6	0.381	-0.026	10.150	6.750
1426900051231	37.504251	139.935059	6	0.361	0.052	9.580	6.750
1426900051332	37.504246	139.935064	6	0.330	0.138	9.032	6.750
1426900051432	37.504241	139.935070	6	0.289	0.202	9.035	6.750
1426900051533	37.504237	139.935076	6	0.198	0.222	9.211	6.750
1426900051634	37.504232	139.935081	6	0.167	0.222	9.096	6.750
1426900051734	37.504227	139.935085	6	0.174	0.326	8.752	6.750
1426900051835	37.504223	139.935090	6	0.123	0.255	8.861	6.750
1426900051931	37.504218	139.935094	6	0.025	0.122	9.445	6.750
1426900052030	37.504214	139.935098	6	-0.036	0.088	9.754	6.750
1426900052132	37.504209	139.935103	6	-0.044	0.066	9.539	6.750
1426900052231	37.504205	139.935107	6	0.011	0.108	9.438	6.750
1426900052334	37.504200	139.935112	6	0.072	0.095	9.612	6.750
1426900052433	37.504195	139.935116	6	0.139	0.095	9.595	6.750
1426900052530	37.504191	139.935120	6	0.145	0.157	9.340	6.750
1426900052631	37.504186	139.935125	6	0.100	0.165	9.163	6.750
1426900052731	37.504182	139.935131	6	0.083	0.131	9.459	6.750
1426900052832	37.504178	139.935136	6	0.130	0.095	9.679	6.750
1426900052933	37.504173	139.935141	6	0.248	0.083	9.452	6.750
1426900053034	37.504169	139.935147	6	0.306	0.149	9.328	6.750
1426900053134	37.504165	139.935152	6	0.280	0.128	9.251	6.750
1426900053230	37.504161	139.935157	6	0.270	0.132	9.503	6.750
1426900053331	37.504156	139.935162	6	0.226	0.088	9.552	6.750
1426900053431	37.504152	139.935168	6	0.179	0.107	9.344	6.750
1426900053532	37.504148	139.935173	6	0.142	0.145	9.335	6.750
1426900053633	37.504143	139.935178	6	0.142	0.125	9.360	6.750
1426900053734	37.504138	139.935184	6	0.186	0.139	9.434	6.750
1426900053834	37.504134	139.935190	6	0.204	0.113	9.368	6.750
1426900053930	37.504129	139.935195	6	0.213	0.155	9.327	6.750
1426900054031	37.504125	139.935200	6	0.192	0.145	9.411	6.750
1426900054131	37.504120	139.935206	6	0.171	0.074	9.478	6.750
1426900054232	37.504116	139.935211	6	0.196	0.091	9.606	6.750
1426900054333	37.504111	139.935217	6	0.150	0.129	9.286	6.750
1426900054433	37.504106	139.935222	6	0.129	0.140	9.265	6.750
1426900054534	37.504102	139.935228	6	0.125	0.095	9.378	6.750
1426900054630	37.504098	139.935233	6	0.174	0.049	9.606	6.735
